Source,Mnemonic,Definition,Comment
Long form,ABO,Aboriginal identity population (number),
Long form,ABO_RATE,"Aboriginal identity population, proportion of total population (percent)",
Long form,IMM,Immigrant population (number),
Long form,IMM_RATE,"Immigrant population, proportion of total population (percent)",
Long form,IMM_2006_2016,Immigrants who arrived between 2006 and 2016 (number),
Long form,IMM_2006_2016_RATE_IMM,"Immigrants who arrived between 2006 and 2016, proportion of immigrant population (percent)",
Long form,IMM_2006_2016_RATE_TOTPOP,"Immigrants who arrived between 2006 and 2016, proportion of total population (percent)",
Long form,VIS_MIN,Visible minority population (number),
Long form,VISMIN_RATE,"Visible minority population, proportion of total population (percent)",
Long form,POP_ONE_PLUS,Population aged 1 year and over (number),
Long form,ONE_YR_INT_MIG,1-year internal migrants (number),
Long form,ONE_YR_INT_MIG_RATE,"1-year internal migrants, proportion of population aged 1 year and over (percent)",
Long form,POP_FIVE_PLUS,Population aged 5 years and over (number),
Long form,FIVE_YR_INT_MIG,5-year internal migrants (number),
Long form,FIVE_YR_INT_MIG_RATE,"5-year internal migrants, proportion of population aged 5 years and over (percent)",
